Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.136936792322719,0.584702490472277,0.0119308441150687,0,0,0,1.21744389438579,0.0263055228102427,-4.74960988562669E-18,1.78511750667704E-23,0.0103343218353292,1.59730077206781E-18,0.0366268585773651,0,0,0,0,0,0,package://buggy_descripation/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/base_link.STL,,Plate-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_mount_1,-0.000311505899562636,0.00907541882425502,0.000108954617667245,0,0,0,0.116973628059289,8.00274171721299E-05,2.58509437772729E-20,-2.88996226510714E-20,0.000117236984799871,1.34419452579816E-21,7.22553292303753E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_mount_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_mount_1.STL,,wheel mount_V2-1,Origin_wheel_mount_1_joint,Axis_wheel_mount_1_joint,wheel_mount_1_joint,fixed,0.236827837705051,0.584724982332815,0.0199134687138035,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
shaft_1,-0.000311505899562636,1.73754012652641E-05,0.00823181733965081,0,0,0,0.0215627079100336,2.86205172556415E-05,1.08547260558386E-23,4.72874992251217E-21,2.85964483774262E-05,-2.33474197027878E-23,7.10078417160629E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/shaft_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/shaft_1.STL,,Shaft-1,Origin_shaft_1_joint,Axis_shaft_1_joint,shaft_1_joint,fixed,0,0.03,0,0,0,0,wheel_mount_1,0,0,0,,,,,,,,,,,,
wheel_1,-0.000311505899562636,1.73754012652363E-05,0.0151089546176671,0,0,0,0.230318011416302,0.000164461455026953,3.41960535803767E-36,-1.17172453763679E-20,0.000164461455026953,-8.75391666279245E-37,0.00029437520834146,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_1.STL,,wheels-1,Origin_wheel_1_joint,Axis_wheel_1_joint,wheel_1_joint,continuous,0,0,0.045,0,0,0,shaft_1,0,0,1,,,,,,,,,,,,
caster_mount_1,5.55111512312578E-17,0.00290933863652861,-8.67361737988404E-18,0,0,0,0.0147090264035528,3.33808829900102E-06,3.04618885109595E-21,1.05993884558895E-20,1.37782026637017E-05,-5.27075874710973E-22,1.16585927397857E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_1.STL,,wheel_assembly-5/small_caster-1,Origin_caster_mount_1_joint,Axis_caster_mount_1_joint,caster_mount_1_joint,fixed,-0.00556320767728138,0.431913476433253,0.0234308441150687,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
caster_fixture_1,-7.12301839733698E-08,0.00616635217076654,1.73472347597681E-18,0,0,0,0.00415872768644128,4.30437009807996E-07,-1.54297935970669E-12,9.49560746889793E-23,4.17582939592616E-07,6.75201979700994E-23,4.05173035674847E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_1.STL,,wheel_assembly-5/scw_mount-2,Origin_caster_fixture_1_joint,Axis_caster_fixture_1_joint,caster_fixture_1_joint,fixed,0,-0.011,0,0,0,0,caster_mount_1,0,0,0,,,,,,,,,,,,
s_caster_1,0,-1.73472347597681E-18,-1.38777878078145E-17,0,0,0,0.00544413332382602,3.38782826842286E-07,2.21364468932901E-39,2.35740419240729E-22,3.38782826842286E-07,-2.93862930614957E-39,5.01644674433888E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/s_caster_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/s_caster_1.STL,,wheel_assembly-5/small_caster_Wheel-2,Origin_s_caster_1_joint,Axis_s_caster_1_joint,s_caster_1_joint,fixed,0,0,0,0,0,0,caster_fixture_1,0,0,0,,,,,,,,,,,,
caster_mount_2,5.55111512312578E-17,0.00290933863652861,0,0,0,0,0.0147090264035528,3.33808829900103E-06,2.2874786250927E-21,-2.49963641355868E-20,1.37782026637017E-05,2.64510165118078E-22,1.16585927397856E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_2.STL,,wheel_assembly-6/small_caster-1,Origin_caster_mount_2_joint,Axis_caster_mount_2_joint,caster_mount_2_joint,fixed,0.279436792322718,0.431913476433253,0.0234308441150687,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
caster_fixture_2,-7.12301839733698E-08,0.00616635217076654,0,0,0,0,0.00415872768644127,4.30437009807995E-07,-1.54297936001376E-12,-1.75223490568748E-22,4.17582939592615E-07,-2.49743369533195E-22,4.05173035674846E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_2.STL,,wheel_assembly-6/scw_mount-2,Origin_caster_fixture_2_joint,Axis_caster_fixture_2_joint,caster_fixture_2_joint,fixed,0,-0.011,0,0,0,0,caster_mount_2,0,0,0,,,,,,,,,,,,
s_wheel_2,0,-1.73472347597681E-18,5.55111512312578E-17,0,0,0,0.00544413332382603,3.38782826842286E-07,1.21113138227373E-38,-6.75554850526471E-22,3.38782826842286E-07,-8.25084535794453E-39,5.01644674433889E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/s_wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/s_wheel_2.STL,,wheel_assembly-6/small_caster_Wheel-2,Origin_s_wheel_2_joint,Axis_s_wheel_2_joint,s_wheel_2_joint,fixed,0,0,0,0,0,0,caster_fixture_2,0,0,0,,,,,,,,,,,,
caster_mount_3,-1.11022302462516E-16,-0.00290933863652861,-1.66533453693773E-16,0,0,0,0.0147090264035529,3.33808829900103E-06,3.00372727566297E-21,-4.94692780397924E-21,1.37782026637017E-05,-7.12138623990839E-23,1.16585927397857E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_3.STL,,wheel_assembly-9/small_caster-1,Origin_caster_mount_3,Axis_caster_mount_3,caster_mount_3,fixed,0.279436792322719,0.736913476433252,0.0234308441150687,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
